"Year","1_CA_TWL","2_CA_NONTWL","3_CA_REC","4_ORWA_TWL","5_ORWA_NONTWL","6_OR_REC","7_WA_REC","Total Catch","Total Dead"
1889,"0.00","0.00","0.00","0.00","0.04","0.00","0.00","0.04","0.04"
1890,"0.02","0.07","0.00","0.00","0.04","0.00","0.00","0.13","0.13"
1891,"0.03","0.13","0.00","0.00","0.07","0.00","0.00","0.23","0.23"
1892,"0.05","0.20","0.00","0.00","3.64","0.00","0.00","3.89","3.89"
1893,"0.06","0.26","0.00","0.00","3.55","0.00","0.00","3.87","3.87"
1894,"0.08","0.33","0.00","0.00","3.55","0.00","0.00","3.96","3.96"
1895,"0.09","0.39","0.00","0.00","0.92","0.00","0.00","1.40","1.40"
1896,"0.11","0.46","0.00","0.00","0.22","0.00","0.00","0.79","0.79"
1897,"0.12","0.52","0.00","0.00","0.22","0.00","0.00","0.86","0.86"
1898,"0.14","0.59","0.00","0.00","0.13","0.00","0.00","0.86","0.86"
1899,"0.16","0.66","0.00","0.00","0.23","0.00","0.00","1.05","1.05"
1900,"0.17","0.72","0.00","0.00","0.30","0.00","0.00","1.19","1.19"
1901,"0.19","0.79","0.00","0.00","0.39","0.00","0.00","1.37","1.37"
1902,"0.20","0.85","0.00","0.00","0.48","0.00","0.00","1.53","1.53"
1903,"0.22","0.92","0.00","0.00","0.56","0.00","0.00","1.70","1.70"
1904,"0.23","0.98","0.00","0.00","0.73","0.00","0.00","1.94","1.94"
1905,"0.25","1.05","0.00","0.00","0.74","0.00","0.00","2.04","2.04"
1906,"0.26","1.11","0.00","0.00","0.83","0.00","0.00","2.20","2.20"
1907,"0.28","1.18","0.00","0.00","0.91","0.00","0.00","2.37","2.37"
1908,"0.30","1.25","0.00","0.00","1.95","0.00","0.00","3.50","3.50"
1909,"0.31","1.31","0.00","0.00","1.09","0.00","0.00","2.71","2.71"
1910,"0.33","1.38","0.00","0.00","1.18","0.00","0.00","2.89","2.89"
1911,"0.34","1.44","0.00","0.00","1.26","0.00","0.00","3.04","3.04"
1912,"0.36","1.51","0.00","0.00","1.35","0.00","0.00","3.22","3.22"
1913,"0.37","1.57","0.00","0.00","1.44","0.00","0.00","3.38","3.38"
1914,"0.39","1.64","0.00","0.00","1.53","0.00","0.00","3.56","3.56"
1915,"0.40","1.70","0.00","0.00","2.23","0.00","0.00","4.33","4.33"
1916,"0.42","1.77","0.00","0.00","1.70","0.00","0.00","3.89","3.89"
1917,"0.66","2.96","0.00","0.00","1.79","0.00","0.00","5.41","5.41"
1918,"0.77","3.48","0.00","0.00","18.54","0.00","0.00","22.79","22.79"
1919,"0.54","1.62","0.00","0.00","7.61","0.00","0.00","9.77","9.77"
1920,"0.55","1.84","0.00","0.00","6.57","0.00","0.00","8.96","8.96"
1921,"0.45","1.85","0.00","0.00","6.33","0.00","0.00","8.63","8.63"
1922,"0.39","1.68","0.00","0.00","4.38","0.00","0.00","6.45","6.45"
1923,"0.42","1.79","0.00","0.00","5.10","0.00","0.00","7.31","7.31"
1924,"0.24","2.58","0.00","0.00","9.29","0.00","0.00","12.11","12.11"
1925,"0.17","3.69","0.00","0.00","11.48","0.00","0.00","15.34","15.34"
1926,"0.62","4.25","0.00","0.00","17.48","0.00","0.00","22.35","22.35"
1927,"1.05","4.87","0.00","0.00","22.79","0.00","0.00","28.71","28.71"
1928,"1.34","4.18","0.64","0.00","22.09","0.00","0.00","28.25","28.25"
1929,"1.58","4.07","1.29","0.00","17.73","0.00","0.00","24.67","24.67"
1930,"1.47","5.30","1.48","0.00","19.50","0.00","0.00","27.75","27.75"
1931,"0.88","4.74","1.97","0.00","11.69","0.00","0.00","19.28","19.28"
1932,"1.05","7.08","2.47","0.02","7.33","0.00","0.00","17.95","17.95"
1933,"1.63","2.81","2.96","0.01","10.30","0.00","0.00","17.71","17.71"
1934,"1.61","4.17","3.45","0.00","12.66","0.00","0.00","21.89","21.89"
1935,"1.68","6.31","3.95","0.01","9.69","0.00","0.00","21.64","21.64"
1936,"1.49","6.60","4.44","0.03","16.65","0.00","0.00","29.21","29.21"
1937,"1.77","4.31","5.27","0.06","14.82","0.00","0.00","26.23","26.23"
1938,"1.67","4.69","5.18","0.00","16.35","0.00","0.00","27.89","27.89"
1939,"1.73","4.71","4.53","0.09","10.63","0.00","0.00","21.69","21.69"
1940,"1.60","2.97","6.51","2.06","17.14","0.00","0.00","30.28","30.28"
1941,"1.16","4.19","6.02","3.17","27.38","0.00","0.00","41.92","41.92"
1942,"0.27","3.10","3.20","5.95","31.38","0.00","0.00","43.90","43.90"
1943,"2.05","3.84","3.06","20.81","51.22","0.00","0.00","80.98","80.98"
1944,"8.36","16.52","2.51","36.51","22.60","0.00","0.00","86.50","86.50"
1945,"18.54","40.02","3.35","56.89","11.52","0.00","0.00","130.32","130.32"
1946,"16.33","41.42","5.76","34.85","20.68","0.00","0.00","119.04","119.04"
1947,"7.09","9.19","4.59","21.42","10.95","0.00","0.00","53.24","53.24"
1948,"6.49","16.81","9.18","15.14","13.38","0.00","0.00","61.00","61.00"
1949,"3.72","6.17","11.88","12.64","11.21","0.00","0.00","45.62","45.62"
1950,"3.42","4.61","14.49","13.69","14.78","0.00","0.00","50.99","50.99"
1951,"9.91","7.07","17.16","12.02","17.96","0.00","0.00","64.12","64.12"
1952,"8.70","5.44","15.00","12.79","13.06","0.00","0.00","54.99","54.99"
1953,"8.57","3.19","12.85","9.96","5.61","0.00","0.00","40.18","40.18"
1954,"4.99","6.78","16.17","12.81","10.25","0.00","0.00","51.00","51.00"
1955,"5.61","1.83","19.51","13.13","9.71","0.00","0.00","49.79","49.79"
1956,"8.58","1.81","21.90","16.99","4.34","0.00","0.00","53.62","53.62"
1957,"10.49","4.07","21.71","22.96","8.51","0.00","0.00","67.74","67.74"
1958,"10.34","3.05","33.84","18.38","2.39","0.00","0.00","68.00","68.00"
1959,"8.61","1.64","29.23","19.94","5.41","0.00","0.00","64.83","64.83"
1960,"7.48","2.24","20.86","25.20","4.92","0.00","0.00","60.70","60.70"
1961,"3.56","1.69","16.35","22.72","4.91","0.00","0.00","49.23","49.23"
1962,"3.68","1.75","20.81","26.40","5.16","0.00","0.00","57.80","57.80"
1963,"6.02","5.61","21.80","7.17","4.10","0.00","0.00","44.70","44.70"
1964,"3.12","4.56","18.96","1.95","3.11","0.00","0.00","31.70","31.70"
1965,"3.86","5.51","29.11","67.88","4.68","0.00","0.00","111.04","111.04"
1966,"3.62","4.45","31.60","3.03","3.24","0.00","0.00","45.94","45.94"
1967,"6.17","4.38","31.89","6.82","6.60","0.00","0.00","55.86","55.86"
1968,"3.78","3.89","37.66","2.97","5.66","0.00","0.00","53.96","53.96"
1969,"21.80","3.91","40.62","47.76","13.08","0.00","0.00","127.17","127.17"
1970,"24.22","3.47","45.79","7.05","4.31","0.00","0.00","84.84","84.84"
1971,"41.77","4.73","40.72","13.65","8.34","0.00","0.00","109.21","109.21"
1972,"56.22","7.44","52.36","7.35","10.86","0.00","0.00","134.23","134.23"
1973,"43.62","5.89","66.48","9.52","11.46","7.40","0.00","144.37","144.37"
1974,"44.80","11.59","70.15","4.41","14.46","12.78","0.00","158.19","158.19"
1975,"50.31","9.93","71.13","5.36","7.65","6.24","4.39","155.01","155.01"
1976,"45.27","13.39","80.63","6.91","10.15","19.38","4.57","180.30","180.30"
1977,"42.51","14.95","72.78","4.97","17.02","19.91","9.33","181.47","181.47"
1978,"123.44","30.76","67.89","23.64","24.10","24.52","4.57","298.92","298.92"
1979,"61.02","38.31","76.31","44.58","49.10","30.92","4.61","304.85","304.85"
1980,"15.48","26.58","72.51","83.95","24.96","27.54","2.61","253.63","253.63"
1981,"30.20","119.50","47.00","91.34","23.95","24.10","4.77","340.86","340.86"
1982,"199.93","15.59","102.00","156.08","31.45","39.88","6.76","551.69","551.69"
1983,"56.65","7.68","51.00","287.29","45.95","54.09","9.15","511.81","511.81"
1984,"44.03","4.42","77.00","113.98","39.39","35.74","15.24","329.80","329.80"
1985,"7.42","4.23","124.00","200.04","69.72","30.46","11.46","447.33","447.33"
1986,"9.89","23.43","65.00","92.92","66.15","28.77","10.99","297.15","297.15"
1987,"16.84","38.00","75.00","71.75","97.08","30.02","13.66","342.35","342.35"
1988,"30.57","34.95","58.00","130.64","47.45","9.33","10.57","321.51","321.51"
1989,"9.38","42.37","59.00","199.34","41.40","15.96","18.39","385.84","385.84"
1990,"10.08","70.26","46.25","81.07","68.95","15.75","15.27","307.63","307.63"
1991,"13.98","133.07","33.50","121.38","85.62","15.73","37.59","440.87","440.87"
1992,"15.83","96.85","20.75","135.66","89.87","20.17","32.89","412.02","412.02"
1993,"6.18","46.59","8.00","137.96","138.25","19.01","32.99","388.98","388.98"
1994,"4.70","49.78","14.00","86.00","79.29","12.88","19.93","266.58","266.58"
1995,"3.69","47.68","13.00","131.32","40.43","15.25","19.19","270.56","270.56"
1996,"16.32","56.18","12.00","83.88","93.25","9.81","19.56","291.00","291.00"
1997,"6.20","57.06","15.00","80.13","115.54","10.70","20.41","305.04","305.04"
1998,"4.10","17.64","5.00","41.18","45.05","15.56","25.70","154.24","154.24"
1999,"8.66","13.73","13.00","18.94","102.00","17.16","21.31","194.80","194.80"
2000,"0.73","3.31","8.00","5.07","15.04","7.95","22.60","62.70","62.70"
2001,"0.62","3.90","5.00","1.63","26.31","5.11","24.54","67.11","67.11"
2002,"0.36","0.03","2.00","1.59","4.15","3.00","3.32","14.45","14.45"
2003,"0.13","0.05","4.00","0.55","2.24","3.40","2.36","12.73","12.73"
2004,"0.02","0.75","1.00","0.50","2.38","1.44","4.11","10.20","10.20"
2005,"0.02","0.73","1.00","1.24","1.66","2.05","4.06","10.76","10.76"
2006,"0.00","0.20","1.00","1.42","2.16","1.18","1.58","7.54","7.54"
2007,"0.00","0.93","4.00","0.09","3.68","1.82","2.31","12.83","12.83"
2008,"0.02","0.64","1.00","0.16","3.43","2.10","1.95","9.29","9.29"
2009,"0.02","0.19","5.00","0.09","2.18","2.30","1.91","11.69","11.69"
2010,"0.06","0.04","1.00","0.08","0.86","2.41","2.27","6.72","6.72"
2011,"0.00","0.20","2.00","0.06","1.21","2.54","2.33","8.34","8.34"
2012,"0.00","0.88","2.00","0.06","1.91","3.05","3.26","11.16","11.16"
2013,"0.01","0.56","1.00","0.11","2.94","3.54","2.24","10.40","10.40"
2014,"0.06","0.02","1.00","0.03","2.16","2.64","2.91","8.81","8.81"
2015,"0.00","0.40","2.00","0.03","3.15","3.56","2.87","12.02","12.02"
2016,"0.00","0.00","1.00","0.07","2.59","2.68","3.24","9.59","9.59"
